"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-15","Channel-14","Channel-13","Channel-12","Channel-11","Channel-10","Channel-9","Channel-8","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1078307,4517,500000,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1
1078309,4519,500000,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1078312,4522,500000,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
1078315,4525,500000,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
1078317,4527,500000,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1
1078320,4530,500000,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
1078323,4533,500000,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1
1078325,4535,500000,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1
1078328,4538,500000,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1
1078331,4541,500000,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1
1078333,4543,500000,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1
1078336,4546,500000,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
1078339,4549,500000,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1
1078341,4551,500000,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1
1078344,4554,500000,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1
1078347,4557,500000,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
1078349,4559,500000,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1
1078352,4562,500000,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
1078355,4565,500000,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1
1078357,4567,500000,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
1078360,4570,500000,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1
1078363,4573,500000,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1
1078365,4575,500000,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1
1078368,4578,500000,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
1078371,4581,500000,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
1078373,4583,500000,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
1078376,4586,500000,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
1078379,4589,500000,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1
1078381,4591,500000,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1
1078384,4594,500000,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1
1078387,4597,500000,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1
1078389,4599,500000,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1078392,4602,500000,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
